detect_date,oil,probable_oil,possible_oil,other,wind,oil_other,iso3
2017-03-01,0,0,1,0,0,0,VUT
2017-03-01,2,0,6,0,0,2,YEM
2017-03-01,1,0,3,1,0,2,ZAF
2017-04-01,1,0,0,0,0,1,ABW
2017-04-01,122,2,1,0,0,122,AGO
2017-04-01,537,1,1,10,0,547,ARE
2017-04-01,0,0,1,0,0,0,ASM
2017-04-01,0,0,1,0,0,0,ATG
2017-04-01,69,4,22,35,0,104,AUS
2017-04-01,0,0,1,5,236,5,BEL
2017-04-01,7,0,0,0,0,7,BEN
2017-04-01,0,0,1,0,0,0,BES
2017-04-01,2,2,0,0,0,2,BGD
2017-04-01,1,0,0,0,0,1,BGR
2017-04-01,4,0,1,0,0,4,BHR
2017-04-01,0,0,2,3,0,3,BHS
2017-04-01,138,12,5,14,0,152,BRA
2017-04-01,120,2,0,0,0,120,BRN
2017-04-01,6,0,7,11,0,17,CAN
2017-04-01,0,0,1,1,0,1,CHL
2017-04-01,288,31,84,167,594,455,CHN
2017-04-01,11,0,0,0,0,11,CIV
2017-04-01,71,0,0,0,0,71,CMR
2017-04-01,55,1,0,0,0,55,COD
2017-04-01,63,0,0,0,0,63,COG
2017-04-01,11,3,2,0,0,11,COL
2017-04-01,2,0,5,1,0,3,CUB
2017-04-01,21,17,2,30,1169,51,DEU
2017-04-01,1,0,1,0,0,1,DJI
2017-04-01,0,0,1,0,0,0,DMA
2017-04-01,14,2,1,18,463,32,DNK
2017-04-01,0,0,1,0,0,0,DOM
2017-04-01,0,0,4,1,0,1,DZA
2017-04-01,9,0,3,0,0,9,ECU
2017-04-01,173,6,1,4,0,177,EGY
2017-04-01,0,0,2,0,0,0,ERI
2017-04-01,3,9,0,6,0,9,ESP
2017-04-01,0,0,1,1,0,1,EST
2017-04-01,0,0,0,42,1,42,FIN
2017-04-01,0,0,1,0,0,0,FJI
2017-04-01,0,0,3,20,0,20,FRA
2017-04-01,123,0,1,0,0,123,GAB
2017-04-01,183,11,3,14,1836,197,GBR
2017-04-01,1,0,0,1,0,2,GEO
2017-04-01,3,0,3,1,0,4,GHA
2017-04-01,0,0,1,2,0,2,GIN
2017-04-01,0,0,1,0,0,0,GMB
2017-04-01,0,0,1,12,0,12,GNB
2017-04-01,13,0,0,0,0,13,GNQ
2017-04-01,5,0,0,1,0,6,GRC
2017-04-01,0,0,1,0,0,0,GUF
2017-04-01,16,0,0,3,0,19,HRV
2017-04-01,540,28,56,67,0,607,IDN
2017-04-01,165,3,35,18,0,183,IND
2017-04-01,3,0,1,4,7,7,IRL
2017-04-01,159,2,0,2,0,161,IRN
2017-04-01,1,0,0,5,0,6,IRQ
2017-04-01,4,0,1,0,0,4,ISR
2017-04-01,104,7,3,5,0,109,ITA
2017-04-01,0,0,0,2,0,2,JEY
2017-04-01,20,9,38,24,0,44,JPN
2017-04-01,0,0,3,0,0,0,KEN
2017-04-01,3,0,1,6,0,9,KHM
2017-04-01,5,0,57,49,3,54,KOR
2017-04-01,36,1,0,32,0,68,KWT
2017-04-01,0,0,1,1,0,1,LBN
2017-04-01,0,0,2,0,0,0,LBR
2017-04-01,12,0,2,0,0,12,LBY
2017-04-01,0,0,4,3,0,3,LKA
2017-04-01,1,1,0,0,0,1,LTU
2017-04-01,0,0,1,0,0,0,LVA
2017-04-01,0,0,1,0,0,0,MDG
2017-04-01,195,2,9,0,0,195,MEX
2017-04-01,4,1,13,5,0,9,MMR
2017-04-01,0,0,0,3,0,3,MOZ
2017-04-01,1,0,4,0,0,1,MRT
2017-04-01,292,26,69,29,0,321,MYS
2017-04-01,15,0,0,0,0,15,NAM
2017-04-01,397,2,1,1,0,398,NGA
2017-04-01,0,0,3,1,0,1,NIC
2017-04-01,114,14,1,4,293,118,NLD
2017-04-01,15,0,0,8,1,23,NOR
2017-04-01,7,0,2,4,0,11,NZL
2017-04-01,18,0,16,0,0,18,None
2017-04-01,6,0,1,0,0,6,OMN
2017-04-01,0,0,1,0,0,0,PAK
2017-04-01,0,1,5,0,0,0,PAN
2017-04-01,93,1,5,4,0,97,PER
2017-04-01,7,0,7,5,0,12,PHL
2017-04-01,3,0,0,1,0,4,PNG
2017-04-01,9,3,0,5,3,14,POL
2017-04-01,0,0,1,0,0,0,PRI
2017-04-01,1,0,3,4,0,5,PRK
2017-04-01,0,0,1,0,0,0,PRT
2017-04-01,165,0,3,1,0,166,QAT
2017-04-01,8,0,0,0,0,8,ROU
2017-04-01,9,2,6,3,0,12,RUS
2017-04-01,632,27,6,1,0,633,SAU
2017-04-01,1,0,3,0,0,1,SDN
2017-04-01,2,0,0,0,0,2,SEN
2017-04-01,0,0,0,15,0,15,SGP
2017-04-01,0,0,0,4,0,4,SLE
2017-04-01,0,0,2,1,0,1,SOM
2017-04-01,0,0,1,44,73,44,SWE
2017-04-01,1,0,0,0,0,1,TGO
2017-04-01,396,0,14,35,0,431,THA
2017-04-01,74,0,0,0,0,74,TTO
2017-04-01,14,11,2,1,0,15,TUN
2017-04-01,5,0,10,32,0,37,TUR
2017-04-01,7,5,2,0,2,7,TWN
2017-04-01,2,1,0,0,0,2,TZA
2017-04-01,16,3,2,10,0,26,UKR
2017-04-01,0,0,1,0,0,0,URY
2017-04-01,2451,47,2,484,5,2935,USA
2017-04-01,13,2,2,1,0,14,VEN
2017-04-01,44,0,20,110,10,154,VNM
2017-04-01,0,0,1,0,0,0,VUT
2017-04-01,3,0,7,0,0,3,YEM
2017-04-01,1,0,3,1,0,2,ZAF
2017-05-01,2,0,0,0,0,2,ABW
2017-05-01,126,2,0,0,0,126,AGO
2017-05-01,0,1,0,0,0,0,ALB
2017-05-01,537,1,1,10,0,547,ARE
2017-05-01,0,0,1,0,0,0,ASM
2017-05-01,0,0,1,0,0,0,ATG
2017-05-01,70,4,22,36,0,106,AUS
2017-05-01,0,0,1,5,236,5,BEL
2017-05-01,7,0,0,0,0,7,BEN
2017-05-01,0,0,1,0,0,0,BES
2017-05-01,1,2,0,0,0,1,BGD
2017-05-01,1,0,0,0,0,1,BGR
2017-05-01,4,0,1,0,0,4,BHR
2017-05-01,0,0,3,3,0,3,BHS
2017-05-01,139,12,6,10,0,149,BRA
2017-05-01,120,3,0,0,0,120,BRN
2017-05-01,6,0,7,18,0,24,CAN
2017-05-01,0,0,1,0,0,0,CHL
2017-05-01,276,33,84,155,621,431,CHN
2017-05-01,11,0,1,0,0,11,CIV
2017-05-01,70,0,0,0,0,70,CMR
2017-05-01,54,1,0,0,0,54,COD
2017-05-01,63,0,0,0,0,63,COG
2017-05-01,11,3,2,0,0,11,COL
2017-05-01,2,0,5,2,0,4,CUB
2017-05-01,20,17,2,30,1170,50,DEU
2017-05-01,1,0,1,0,0,1,DJI
2017-05-01,0,0,1,0,0,0,DMA
2017-05-01,15,2,1,16,460,31,DNK
2017-05-01,0,0,1,0,0,0,DOM
2017-05-01,0,0,4,1,0,1,DZA
2017-05-01,9,0,3,0,0,9,ECU
2017-05-01,175,5,1,4,0,179,EGY
2017-05-01,0,0,2,0,0,0,ERI
2017-05-01,3,9,0,6,0,9,ESP
2017-05-01,0,0,1,1,0,1,EST
2017-05-01,0,0,0,44,2,44,FIN
2017-05-01,0,0,1,0,0,0,FJI
2017-05-01,0,0,1,21,0,21,FRA
2017-05-01,121,0,1,0,0,121,GAB
2017-05-01,181,11,4,15,1856,196,GBR
2017-05-01,1,0,0,1,0,2,GEO
2017-05-01,3,0,3,1,0,4,GHA
2017-05-01,0,0,1,2,0,2,GIN
2017-05-01,0,0,1,0,0,0,GMB
2017-05-01,0,0,1,10,0,10,GNB
2017-05-01,13,0,0,0,0,13,GNQ
2017-05-01,5,0,0,1,0,6,GRC
2017-05-01,0,0,1,0,0,0,GUF
2017-05-01,16,0,0,3,0,19,HRV
2017-05-01,542,32,53,69,0,611,IDN
2017-05-01,163,1,34,14,0,177,IND
2017-05-01,3,0,1,4,7,7,IRL
2017-05-01,159,3,0,2,0,161,IRN
2017-05-01,1,0,0,5,0,6,IRQ
2017-05-01,5,0,1,0,0,5,ISR
2017-05-01,104,8,3,5,0,109,ITA
2017-05-01,0,0,0,2,0,2,JEY
2017-05-01,20,10,39,26,0,46,JPN
2017-05-01,0,0,3,0,0,0,KEN
2017-05-01,3,0,1,6,0,9,KHM
2017-05-01,5,0,56,51,3,56,KOR
2017-05-01,35,2,0,32,0,67,KWT
2017-05-01,0,0,1,1,0,1,LBN
2017-05-01,0,0,2,0,0,0,LBR
2017-05-01,12,0,2,0,0,12,LBY
2017-05-01,0,0,4,3,0,3,LKA
2017-05-01,1,1,0,0,0,1,LTU
2017-05-01,0,0,1,0,0,0,LVA
2017-05-01,0,0,2,0,0,0,MDG
2017-05-01,194,2,10,0,0,194,MEX
2017-05-01,4,2,10,4,0,8,MMR
2017-05-01,0,0,0,3,0,3,MOZ
2017-05-01,1,0,4,0,0,1,MRT
2017-05-01,295,23,74,30,0,325,MYS
2017-05-01,14,0,0,0,0,14,NAM
2017-05-01,374,2,1,1,0,375,NGA
2017-05-01,0,0,3,2,0,2,NIC
2017-05-01,117,13,1,5,294,122,NLD
2017-05-01,18,0,0,8,1,26,NOR
2017-05-01,7,0,2,4,0,11,NZL
2017-05-01,17,0,15,0,0,17,None
2017-05-01,6,0,1,0,0,6,OMN
2017-05-01,0,0,1,0,0,0,PAK
2017-05-01,0,1,5,0,0,0,PAN
2017-05-01,93,1,5,4,0,97,PER
2017-05-01,7,0,6,3,0,10,PHL
2017-05-01,3,0,0,1,0,4,PNG
2017-05-01,9,3,0,5,3,14,POL
2017-05-01,0,0,1,0,0,0,PRI
2017-05-01,1,0,3,5,0,6,PRK
2017-05-01,0,0,1,0,0,0,PRT
2017-05-01,165,0,3,1,0,166,QAT
2017-05-01,8,0,0,0,0,8,ROU
2017-05-01,9,2,5,3,0,12,RUS
2017-05-01,632,25,6,1,0,633,SAU
2017-05-01,1,0,3,0,0,1,SDN
2017-05-01,2,0,0,0,0,2,SEN
2017-05-01,0,0,0,20,0,20,SGP
2017-05-01,0,0,0,4,0,4,SLE
2017-05-01,0,0,2,1,0,1,SOM
2017-05-01,0,0,1,46,73,46,SWE
2017-05-01,1,0,0,0,0,1,TGO
2017-05-01,396,0,12,36,0,432,THA
2017-05-01,74,0,0,0,0,74,TTO
2017-05-01,14,11,2,1,0,15,TUN
2017-05-01,5,0,10,31,0,36,TUR
2017-05-01,7,5,2,0,2,7,TWN
2017-05-01,2,1,0,0,0,2,TZA
2017-05-01,16,3,2,10,0,26,UKR
2017-05-01,0,0,1,0,0,0,URY
2017-05-01,2450,44,2,475,5,2925,USA
2017-05-01,11,3,2,0,0,11,VEN
2017-05-01,45,0,15,108,10,153,VNM
2017-05-01,0,0,1,0,0,0,VUT
2017-05-01,2,0,7,1,0,3,YEM
2017-05-01,1,0,3,1,0,2,ZAF
2017-06-01,3,0,0,0,0,3,ABW
2017-06-01,251,2,0,0,0,251,AGO
2017-06-01,0,1,0,0,0,0,ALB
2017-06-01,536,2,1,11,0,547,ARE
2017-06-01,0,0,1,0,0,0,ASM
2017-06-01,0,0,1,0,0,0,ATG
2017-06-01,69,4,21,36,0,105,AUS
2017-06-01,0,0,1,5,236,5,BEL
2017-06-01,7,0,0,0,0,7,BEN
2017-06-01,0,0,1,0,0,0,BES
2017-06-01,1,2,0,0,0,1,BGD
2017-06-01,1,0,0,0,0,1,BGR
2017-06-01,4,0,1,1,0,5,BHR
2017-06-01,0,0,3,3,0,3,BHS
2017-06-01,136,13,6,11,0,147,BRA
2017-06-01,120,2,0,0,0,120,BRN
2017-06-01,6,0,6,19,0,25,CAN
2017-06-01,0,0,1,0,0,0,CHL
2017-06-01,278,28,85,161,676,439,CHN
2017-06-01,12,0,1,0,0,12,CIV
2017-06-01,68,0,0,0,0,68,CMR
2017-06-01,53,1,0,0,0,53,COD
